Manufacturer,count
Sun Pharmaceutical Industries Ltd,820
Intas Pharmaceuticals Ltd,654
Cipla Ltd,574
Torrent Pharmaceuticals Ltd,445
Lupin Ltd,435
Mankind Pharma Ltd,337
Zydus Cadila,327
Alkem Laboratories Ltd,327
Macleods Pharmaceuticals Pvt Ltd,319
Abbott,279
Micro Labs Ltd,276
Dr Reddy's Laboratories Ltd,266
Ipca Laboratories Ltd,235
Aristo Pharmaceuticals Pvt Ltd,225
Glenmark Pharmaceuticals Ltd,209
Alembic Pharmaceuticals Ltd,167
Leeford Healthcare Ltd,163
Eris Lifesciences Ltd,137
Systopic Laboratories Pvt Ltd,133
USV Ltd,124
Emcure Pharmaceuticals Ltd,124
FDC Ltd,115
Ajanta Pharma Ltd,108
Zuventus Healthcare Ltd,104
La Renon Healthcare Pvt Ltd,98
Cadila Pharmaceuticals Ltd,96
Corona Remedies Pvt Ltd,77
Medley Pharmaceuticals,76
Icon Life Sciences,71
Hegde and Hegde Pharmaceutical LLP,70
Glaxo SmithKline Pharmaceuticals Ltd,69
Pfizer Ltd,69
Canixa Life Sciences Pvt,68
Sanofi India Ltd,66
Hetero Drugs Ltd,59
Indoco Remedies Ltd,57
Blue Cross Laboratories Ltd,55
Franco-Indian Pharmaceuticals Pvt Ltd,55
Wallace Pharmaceuticals Pvt Ltd,54
Akumentis Healthcare Ltd,52
Oaknet Healthcare Pvt Ltd,50
KLM Laboratories Pvt Ltd,50
Talent India ,49
Apex Laboratories Pvt Ltd,45
Biocon,44
J B Chemicals and Pharmaceuticals Ltd,44
MSN Laboratories,44
RPG Life Sciences Ltd,43
Serum Institute Of India Ltd,43
Novartis India Ltd,41
Wockhardt Ltd,40
Fourrts India Laboratories Pvt Ltd,40
Jenburkt Pharmaceuticals Ltd,37
Koye Pharmaceuticals Pvt ltd,37
Unison Pharmaceuticals Pvt Ltd,35
A. Menarini India Pvt Ltd,34
East West Pharma,33
Panacea Biotec Ltd,33
Bharat Serums & Vaccines Ltd,33
Linux Laboratories,32
Centaur Pharmaceuticals Pvt Ltd,32
Glowderma Labs Pvt Ltd,31
Biochem Pharmaceutical Industries,31
Novo Nordisk India Pvt Ltd,31
Entod Pharmaceuticals Ltd,31
Zydus Healthcare Limited,30
Knoll Pharmaceuticals Ltd,30
Rockmed Pharma Pvt. Ltd.,30
Tas Med India Pvt Ltd,29
Bayer Zydus Pharma Pvt Ltd,29
Samarth Life Sciences Pvt Ltd,29
Rapross Pharmaceuticals Pvt Ltd,29
Janssen Pharmaceuticals,29
Troikaa Pharmaceuticals Ltd,28
Med Manor Organics Pvt Ltd,27
Win-Medicare Pvt Ltd,26
Allergan India Pvt Ltd,23
Lloyd Healthcare Pvt Ltd,23
Natco Pharma Ltd,23
Neon Laboratories Ltd,23
Merck Ltd,22
Arinna Lifescience Pvt Ltd,22
Sunways India Pvt Ltd,22
AstraZeneca,21
Nri Vision Care India Limited,21
Alniche Life Sciences Pvt Ltd,21
Shreya Life Sciences Pvt Ltd,21
Mohrish Pharmaceuticals,21
Walter Bushnell,20
Brinton Pharmaceuticals Pvt Ltd,20
Ozone Pharmaceuticals Ltd,20
Meyer Organics Pvt Ltd,19
Ferring Pharmaceuticals,19
Obsurge Biotech Ltd,18
La Pristine Bioceuticals Pvt Ltd,18
Geno Pharmaceuticals Ltd,18
Sapient Laboratories Pvt Ltd,18
Eli Lilly and Company India Pvt Ltd,18
Palsons Derma,17
Albert David Ltd,17
Integrace Pvt Ltd,16
Bal Pharma Ltd,16
Ronyd Healthcare Pvt Ltd,16
Lincoln Pharmaceuticals Ltd,15
Ethinext Pharma,15
