Manufacturer,raw_count,clean_count,removed
Talent India ,49,0,49
Percos India Pvt  Ltd,15,0,15
Jawa Pharmaceuticals  Pvt Ltd,8,0,8
Intas Pharmaceuticals Ltd,654,648,6
Cipla Ltd,574,569,5
Torrent Pharmaceuticals Ltd,445,441,4
BestoChem Formulations  India  Ltd,3,0,3
Parker Robinson Pvt  Ltd,3,0,3
Apex Laboratories Pvt Ltd,45,42,3
Macleods Pharmaceuticals Pvt Ltd,319,316,3
Lupin Ltd,435,432,3
RPG Life Sciences Ltd,43,41,2
Systopic Laboratories Pvt Ltd,133,131,2
Rockmed Pharma Pvt. Ltd.,30,28,2
Ajanta Pharma Ltd,108,106,2
MDC Pharmaceuticals  Pvt Ltd,2,0,2
Dermo Care Laboratories,12,10,2
Orn Remedies Pvt  Ltd,2,0,2
Alkem Laboratories Ltd,327,325,2
Mohrish Pharmaceuticals,21,19,2
Janssen Pharmaceuticals,29,28,1
Pulse Pharmaceuticals,12,11,1
Dolvis Bio Pharma Pvt Ltd,6,5,1
Panbross Pharmaceuticals Pvt  Ltd,1,0,1
Solvate Laboratries Pvt Ltd,10,9,1
Ind Swift Laboratories Ltd,10,9,1
Troikaa Pharmaceuticals Ltd,28,27,1
Mitoch Pharma Pvt Ltd,8,7,1
West-Coast Pharmaceutical Works Ltd,8,7,1
Wanbury Ltd,7,6,1
Suncare Formulations Pvt Ltd,7,6,1
Sun Pharmaceutical Industries Ltd,820,819,1
Zee Laboratories,6,5,1
Paras Impex ,1,0,1
Deon Healthcare,2,1,1
Minova Life Sciences Pvt Ltd,2,1,1
Nexacare Lifesciences Pvt Ltd,2,1,1
Avirav Sciences Pvt Ltd,2,1,1
Smithways Oncology Pvt Ltd,2,1,1
Kivonyx Healthcare,2,1,1
Shilpex Pharmysis,2,1,1
Oxania Healthcare Pvt Ltd,2,1,1
Celsius Healthcare Pvt Ltd,6,5,1
Krishna Life Sciences,2,1,1
Rivan Pharma,3,2,1
Syncom Formulations  I  Limited,1,0,1
Jenburkt Pharmaceuticals Ltd,37,36,1
UCB India Pvt Ltd,4,3,1
Yaher Pharma,4,3,1
Curagen Biological   Pharmaceuticals,1,0,1
East West Pharma,33,32,1
Mova Pharmaceutical Pvt Ltd,6,5,1
Fourrts India Laboratories Pvt Ltd,40,39,1
Eris Lifesciences Ltd,137,136,1
Aristo Pharmaceuticals Pvt Ltd,225,224,1
Oaknet Healthcare Pvt Ltd,50,49,1
La Renon Healthcare Pvt Ltd,98,97,1
Serum Institute Of India Ltd,43,42,1
Emcure Pharmaceuticals Ltd,124,123,1
Hegde and Hegde Pharmaceutical LLP,70,69,1
Glaxo SmithKline Pharmaceuticals Ltd,69,68,1
Ipca Laboratories Ltd,235,234,1
Sanofi India Ltd,66,65,1
Zydus Cadila,327,326,1
Pfizer Ltd,69,68,1
Glenmark Pharmaceuticals Ltd,209,208,1
Alembic Pharmaceuticals Ltd,167,166,1
Leeford Healthcare Ltd,163,162,1
Mankind Pharma Ltd,337,336,1
Franco-Indian Pharmaceuticals Pvt Ltd,55,54,1
Clementia Pharmaceuticals Pvt Ltd,1,1,0
Caryota Life Sciences India Pvt. Ltd.,1,1,0
Zhenpi Life Sciences Pvt Ltd,1,1,0
Arlak Biotech Pvt Ltd,1,1,0
Aurolab,1,1,0
Zenvita Healthcare Pvt Ltd,1,1,0
New Medicon Pharma Labs Pvt Ltd,1,1,0
Care Organics Ltd.,1,1,0
Bio-Zenesis Healthcare,1,1,0
Syndicate Life Sciences Pvt Ltd,1,1,0
Colinz Laboratories Ltd,1,1,0
Arrient Healthcare Pvt Ltd,1,1,0
Healing Pharma India Pvt Ltd,1,1,0
Telic Pharma,1,1,0
Aprazer Healthcare Pvt Ltd,1,1,0
Bell Pharma Pvt Ltd,1,1,0
Medsea Healthcare Pvt Ltd,1,1,0
Prochem Pharmaceuticals Pvt Ltd,1,1,0
Everen Healthcare,1,1,0
Estragen Pharma,1,1,0
Berry & Herbs Pharma Pvt Ltd,1,1,0
Pure Science Biotech,1,1,0
Kinesis Pharmaceuticals Pvt Ltd,1,1,0
Ultichem Pharmaceuticals Pvt Ltd,1,1,0
Zelleven Healthcare Pvt Ltd,1,1,0
RSL Bioscience Pvt Ltd,1,1,0
Richfaith Pharmaceuticals,1,1,0
Marc Laboratories Pvt Ltd,1,1,0
Synchem Lab,1,1,0
Intra Labs India Pvt Ltd,1,1,0
Gold Line,1,1,0
Vibrant Healthcare Pvt Ltd,1,1,0
Texas Pharmaceuticals,1,1,0
Taj Pharma India Ltd,1,1,0
Malvern Pharma,1,1,0
Vkan healthcare,1,1,0
Torway Pharmacia Pvt Ltd,1,1,0
Kare Health Specialities Pvt Ltd,1,1,0
Synovia Life Sciences Pvt Ltd,1,1,0
Mars Therapeutics & Chemicals Ltd,1,1,0
Anglo-French Drugs & Industries Ltd,1,1,0
Wisteria Healthcare LLP,1,1,0
Drakt Pharmaceutical Pvt Ltd,1,1,0
GENZYME,1,1,0
Synthergen Therapeutics Pvt Ltd,1,1,0
Paras Pharmaceuticals Ltd,1,1,0
Prosper Channel Lifescience India Pvt Ltd,1,1,0
Indian Immunologicals Ltd,1,1,0
Dermarex HealthCare India Pvt. Ltd.,1,1,0
Daylon Healthcare,1,1,0
Blisson Mediplus Pvt Ltd,1,1,0
Salud Care India Pvt Ltd,1,1,0
Synovion Laboratories Pvt Ltd,1,1,0
Denis Chem Lab Ltd,1,1,0
Enrico Pharmaceuticals,1,1,0
Medpro Biotech,1,1,0
Astech Pharma Pvt Ltd,1,1,0
Gms Biomax Medicare Pvt Ltd,1,1,0
Wellicia Pharmaceuticals Pvt Ltd,1,1,0
Anhox Healthcare Pvt Ltd,1,1,0
URSA Pharm,1,1,0
Biomiicron Pharmaceuticals,1,1,0
Viwacure Healthcare Pvt Ltd,1,1,0
Universal NutriScience,1,1,0
Bayer Pharmaceuticals Pvt Ltd,1,1,0
Santis Pharmaceuticals Private Limited,1,1,0
Bionucleus Pharmaceuticals Pvt Ltd,1,1,0
Ardent Life Sciences Pvt Ltd,1,1,0
MidasCare Pharmaceuticals Pvt Ltd,1,1,0
Pretium Pharmaceuticals,1,1,0
Zelleven Pharma Pvt Ltd,1,1,0
Vitabolik Pharma,1,1,0
Heveren Healthcare Pvt Ltd,1,1,0
Austrak Pvt Ltd,1,1,0
Ashes Life Sciences,1,1,0
Leo Pharmaceuticals,1,1,0
Integra Life Sciences Pvt Ltd,1,1,0
Magnachem Pharmaceuticals Pvt Ltd,1,1,0
Tidal Healthcare Pvt Ltd,1,1,0
Altavista Life Sciences Pvt Ltd,1,1,0
Shelon Pharmalabs Private Limited,1,1,0
Optimal Pharma tech,1,1,0
Bio Vitamins,2,2,0
Pacific Biotech,1,1,0
Nithyasha Healthcare Pvt Ltd,2,2,0
Fibrica Healthcare Pvt Ltd,2,2,0
Cipla Health Ltd,2,2,0
Nidus Pharma Pvt Ltd,2,2,0
Alvid-Indo Corporation,1,1,0
Sigman Wellness,1,1,0
Medlius Pharma Pvt. Limited,1,1,0
Arkson Pharmaceuticals,1,1,0
Boots Lifesciences Ltd,1,1,0
Shield Health Care Pvt Ltd,1,1,0
Biomed Pharmaceuticals,1,1,0
Astra Labs,1,1,0
Ethicare Pharma,1,1,0
Pharmasynth Formulations Ltd,1,1,0
Mezzone Remedies Pvt Ltd,1,1,0
Tricos Dermatologics Pvt Ltd,1,1,0
Elcliff Formulations Pvt Ltd,2,2,0
Misae Lifesciences Pvt Ltd,1,1,0
Paviour Pharmaceuticals Pvt Ltd,2,2,0
Surecare Pharma Pvt Ltd,2,2,0
Ergos Life Sciences,2,2,0
Praise Pharma,2,2,0
Venus Remedies Ltd,2,2,0
Vinder Pharma,2,2,0
Mcastro Pharma,2,2,0
Kaizen Pharmaceuticals Pvt Ltd,2,2,0
Unimac Pharmaceuticals Pvt Ltd,2,2,0
Austro Labs,2,2,0
Bion Therapeutics India Pvt Ltd,2,2,0
Santiago Lifesciences Pvt Ltd,2,2,0
Ingram Biosciences Pvt Ltd,2,2,0
Algen Healthcare Limited,2,2,0
Avis Lifecare Pvt Ltd,2,2,0
Dukes Lab,2,2,0
ADN Life Sciences,2,2,0
Albia Biocare,1,1,0
Celera Healthcare Pvt. Ltd.,2,2,0
Fluense Pharmaceutical,1,1,0
Excella Life Sciences Pvt Ltd,1,1,0
Winsome Laboratories Pvt Ltd,1,1,0
Mitis Biomedics Ltd,1,1,0
Mac Millon Pharmaceuticals Pvt Ltd,1,1,0
Concord Drugs Ltd,1,1,0
Alna Biotech Pvt Ltd,1,1,0
Aeobury Healthcare Pvt Ltd,1,1,0
Genetic Pharma,1,1,0
Novelty Healthshine Pvt Ltd,1,1,0
Glorious Biotech,1,1,0
Siesta Pharmaceuticals,1,1,0
GH Vision Care Life Science,1,1,0
Strimed Pharmaceuticals Pvt Ltd,1,1,0
Rostrumed Biotech Pvt Ltd,1,1,0
OSR Pharmaceuticals Pvt Ltd,1,1,0
Scorleon Pharma,1,1,0
PlasmaGen Biosciences Pvt Ltd,1,1,0
Aretaeus Pharmaceuticals,1,1,0
S H Pharmaceuticals Ltd,1,1,0
Winsome Bioceuticals,1,1,0
Matteo Healthcare Pvt Ltd,1,1,0
Daksh Pharma Pvt Ltd,1,1,0
Appasamy Ocular Device Pvt Ltd,1,1,0
Knox Life Sciences Pvt Ltd,1,1,0
Senechio Pharma Pvt Ltd,1,1,0
Bellavita Healthcare Pvt Ltd,1,1,0
Gary Pharmaceuticals Pvt Ltd,1,1,0
Teknovations Life Science,1,1,0
Nicholas Healthcare Limited,1,1,0
Agn Healthcare,1,1,0
AGIO Pharmaceuticals Ltd,1,1,0
Apotex Pharmachem India Pvt Ltd,1,1,0
Jenome Biophar Pvt Ltd,1,1,0
Auftritt Healthcare Pvt Ltd,1,1,0
Linus Life Sciences Pvt Ltd,1,1,0
Ethicare Remedies,1,1,0
Bioplasma Immunological Research Pvt Ltd,1,1,0
Orison Pharma International,1,1,0
Elsker lifescience Pvt. Ltd.,1,1,0
Adley Formulations,1,1,0
KPH Cosmos Pvt Ltd,1,1,0
Flaron Healthcare Pvt Ltd,1,1,0
Triton Healthcare Pvt Ltd,1,1,0
Dr Willmar Schwabe India Pvt Ltd,1,1,0
Theia Healthcare,1,1,0
Bioas Medico Pvt Ltd,1,1,0
Xena Coronus Health Care Pvt Ltd,1,1,0
Eucare Pharmaceuticals Pvt Ltd,1,1,0
Narvs Pharma,1,1,0
Uvb Healthcare Pvt Ltd,1,1,0
Coxswain Healthcare,1,1,0
Adonis Phytoceuticals Pvt Ltd,1,1,0
Craza Lifesciences Pvt Ltd,1,1,0
Holy Lifesciences,1,1,0
Omega Remedies Pvt Ltd,1,1,0
Ampra Pharmaceuticals,1,1,0
Skinska Pharmaceutica Pvt Ltd,1,1,0
Elis Pharmaceuticals India Pvt Ltd,1,1,0
Signature Phytochemical Industries,1,1,0
Medileb Speaciality Laboratories Pvt Ltd,1,1,0
Calibar Pharmaceuticals,1,1,0
Formahealth,1,1,0
Mascot Health Series Pvt Ltd,1,1,0
Schulke India Private Limited,1,1,0
Edura Pharmaceuticals Pvt Ltd,1,1,0
Bellissa Pharmaceuticals,1,1,0
Bajaj Pharmaceutical,1,1,0
Nexeum Pharmaceuticals,1,1,0
Baxalta Biosciences India Private Limited,1,1,0
P R G Pharma Pvt Ltd,1,1,0
Deevens Pharma,1,1,0
Universal Pharma,1,1,0
Psycormedies,1,1,0
Dupen Laboratories Pvt Ltd,1,1,0
Goddres Pharmaceuticals Pvt Ltd,1,1,0
Hicare Pharma,1,1,0
Bio Swizz Pharmaceuticals,1,1,0
Woakes Pharma,1,1,0
Nutratec Pharmaceuticals,1,1,0
Grevis Pharmaceuticals Pvt Ltd,1,1,0
Mil Laboratories Pvt Ltd,1,1,0
Unicure India Pvt Ltd,1,1,0
Skin First Cosmeceutical,1,1,0
Focaz Medipharma,1,1,0
Lynderma Pharmaceuticals,1,1,0
Kruger Pharmaceuticals Pvt Ltd,1,1,0
Era Pharmaceuticals,1,1,0
Depsons Healthcare,1,1,0
Winston Pharmaceuticals Ltd,1,1,0
Ochoa Laboratories Ltd,1,1,0
Novazen Pharmaceuticals,1,1,0
Beulah Biomedics Ltd,1,1,0
Care Pride Pharma,1,1,0
Surelife Remedies Pvt Ltd,1,1,0
Dew Drops Lab,1,1,0
Mediwin Pharmaceuticals,1,1,0
Micro 2 Mega Healthcare Pvt Ltd,1,1,0
Onerous Pharma,1,1,0
Vbrace International,1,1,0
Leo Life Science Pvt Ltd,1,1,0
Astraea Life Sciences Pvt Ltd,1,1,0
LifeSurge BioSciences Pvt Ltd,1,1,0
Medicom International Eyetech Pvt Ltd,1,1,0
Century Life Science,1,1,0
Real Care Life Sciences,1,1,0
Laures Pharmaceuticals Pvt Ltd,1,1,0
Zodley Pharmaceuticals Pvt Ltd,1,1,0
Hnf Care Pvt Ltd,1,1,0
Mibsons Pharmaceutical Pvt Ltd,1,1,0
AS Lifesciences,1,1,0
Nukind Healthcare Pvt Ltd,1,1,0
ADZO Lifesciences Pvt Ltd,1,1,0
Amideep Pharmaceuticals,1,1,0
Olcare Laboratories,1,1,0
Galenus Pharma Pvt Ltd,1,1,0
AAA Pharma Trade Pvt Ltd,1,1,0
Asvins Lifecare,1,1,0
Zen Labs India,1,1,0
Doff Biotech Pvt Ltd,1,1,0
Romas Remedies,1,1,0
Meracus Pharmaceuticals,1,1,0
Strivo Pharma Pvt Ltd,1,1,0
Medigenesis Pharma Pvt Ltd,1,1,0
Wilburt Remedies Pvt Ltd,1,1,0
Radix Pharmaceuticals,1,1,0
Novo Medi Sciences Pvt Ltd,1,1,0
Avilius Neutracare,1,1,0
Procter & Gamble Hygiene and Health Care Ltd,1,1,0
Biotic Healthcare,1,1,0
Uniprogen Biotech Pvt Ltd,1,1,0
Softdeal Pharmaceutical Private Limited,1,1,0
Indi Pharma,1,1,0
KC Laboratories,1,1,0
KRP Pharma,1,1,0
Sowilo India Pharmaceuticals Pvt Ltd,1,1,0
Dycine Pharmaceuticals Ltd,1,1,0
GBK Healthcare,1,1,0
Protech Biosystems,1,1,0
Matias Healthcare Pvt Ltd,1,1,0
Kinedex Healthcare Pvt Ltd,2,2,0
Andro Lifecare Pharma,1,1,0
Aceon Pharma,1,1,0
Dr Cure Pharmaceuticals India Pvt Ltd,1,1,0
Oriva Lifesciences Pvt Ltd,1,1,0
Oziel Pharmaceuticals Pvt Ltd,1,1,0
Assure Lifescience Pvt Ltd,1,1,0
Eraas International,1,1,0
Ultra Biotech Formulations,1,1,0
Adroit Biomed Ltd,1,1,0
