Uses,count
Treatment of Type 2 diabetes mellitus,907
Treatment of Bacterial infections,439
 Hypertension (high blood pressure),405
 Pain relief,385
Treatment of Hypertension (high blood pressure),279
Treatment of Fungal skin infections,216
Treatment of Neuropathic pain,189
Treatment of Fungal infections,180
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,176
 Fungal skin infections,147
 Pain reliefTreatment of Fever,137
Treatment of Allergic conditions,131
Treatment of Dry eyes,130
Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,122
Treatment of Acne,121
Treatment of Sneezing and runny nose due to allergiesTreatment of Hay feverTreatment of Allergic skin conditions,114
 Schizophrenia,111
Treatment of Chronic obstructive pulmonary disease (COPD),108
Treatment of SchizophreniaTreatment of Mania,100
Treatment of Bacterial eye infections,100
Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attackPrevention of Migraine,91
 Epilepsy/Seizures,87
Treatment of High cholesterolPrevention of Heart attack,86
Treatment of Hair loss,85
Treatment of Epilepsy/Seizures,82
Treatment of High cholesterol Prevention of heart attack and stroke,82
 Diabetes,80
 High cholesterolPrevention of Heart attack,80
 Hypertension (high blood pressure) Heart failure Prevention of heart attack and stroke,79
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,75
 Hormone replacement therapyTreatment of Female infertility,75
Treatment of Sneezing and runny nose due to allergies,73
Treatment of Benign prostatic hyperplasia,72
Treatment of Common cold,71
 Bacterial infections,69
Treatment of Pain due to muscle spasm,67
Treatment of Cough with mucus,63
Treatment and prevention of Blood clots,62
Treatment of Dry cough,62
 Neuropathic pain,60
Treatment of Skin infections,60
Treatment of Angina (heart-related chest pain),57
 Prevention of organ rejection in transplant patients,54
Treatment of Constipation,53
Treatment of Skin conditions with inflammation & itching,51
Treatment of Bacterial skin infections,51
Treatment of Overactive bladder (OAB) symptoms,49
 Muscle relaxation,49
Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,47
Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder,45
 Depression,45
 Fungal infections,44
Treatment of HeartburnTreatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Zollinger-Ellison syndrome,44
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),42
Prevention of Migraine,42
Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia,42
 Osteoarthritis,41
Treatment of Erectile dysfunction,41
Treatment of Rheumatic disorderTreatment of Systemic lupus erythematosus (SLE)Treatment of Allergic conditionsTreatment of Eye disordersTreatment of Skin disorders,38
 High cholesterol,38
 Acne,38
Treatment of Dandruff,38
 Eczema Psoriasis,37
Treatment of DepressionTreatment of Panic disorderTreatment of Anxiety disorder,37
Treatment of Hypertension (high blood pressure)Treatment of Edema,36
 Local anesthesia (Numb tissues in a specific area),36
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome,36
 Nutritional deficiencies,36
Treatment of Gout,36
 Pain due to muscle spasm,36
Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,35
 Chronic obstructive pulmonary disease (COPD),35
 Schizophrenia Mania,35
 Melasma,35
 Heart attack prevention and high cholesterol,34
Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,33
 Fungal nail infections,33
Treatment of Hypothyroidism,33
 Heart attack,33
 Cough,32
Treatment of Epilepsy/SeizuresTreatment of Bipolar disorderPrevention of Migraine,31
Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea,31
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,30
Treatment of EczemaTreatment of Psoriasis,30
Treatment of ConstipationTreatment of Hepatic encephalopathy,30
Treatment of Meniere's disease,30
Treatment of Atopic dermatitis,30
